row,id,time,value
300,sbb_nettotonnenkm,2001-10-27,22551875.978
301,sbb_nettotonnenkm,2001-10-28,6253543.255
302,sbb_nettotonnenkm,2001-10-29,28118509.791
303,sbb_nettotonnenkm,2001-10-30,39692516.706
304,sbb_nettotonnenkm,2001-10-31,41025410.692
305,sbb_nettotonnenkm,2001-11-01,33312295.457
306,sbb_nettotonnenkm,2001-11-02,28012087.658
307,sbb_nettotonnenkm,2001-11-03,20100549.763
308,sbb_nettotonnenkm,2001-11-04,7138691.945
309,sbb_nettotonnenkm,2001-11-05,27545877.43
310,sbb_nettotonnenkm,2001-11-06,44044445.181
311,sbb_nettotonnenkm,2001-11-07,44838128.912
312,sbb_nettotonnenkm,2001-11-08,43539102.486
313,sbb_nettotonnenkm,2001-11-09,39852977.218
314,sbb_nettotonnenkm,2001-11-10,19548868.885
315,sbb_nettotonnenkm,2001-11-11,3875709.777
316,sbb_nettotonnenkm,2001-11-12,28915331.156
317,sbb_nettotonnenkm,2001-11-13,43557256.815
318,sbb_nettotonnenkm,2001-11-14,45032139.49
319,sbb_nettotonnenkm,2001-11-15,42697478.999
320,sbb_nettotonnenkm,2001-11-16,39564802.203
321,sbb_nettotonnenkm,2001-11-17,23662077.883
322,sbb_nettotonnenkm,2001-11-18,7189760.509
323,sbb_nettotonnenkm,2001-11-19,28766356.203
324,sbb_nettotonnenkm,2001-11-20,41294521.322
325,sbb_nettotonnenkm,2001-11-21,43426656.181
326,sbb_nettotonnenkm,2001-11-22,43157165.211
327,sbb_nettotonnenkm,2001-11-23,37702049.531
328,sbb_nettotonnenkm,2001-11-24,22439452.799
329,sbb_nettotonnenkm,2001-11-25,6994559.582
330,sbb_nettotonnenkm,2001-11-26,29810872.528
331,sbb_nettotonnenkm,2001-11-27,43701608.814
332,sbb_nettotonnenkm,2001-11-28,44004298.489
333,sbb_nettotonnenkm,2001-11-29,44581001.765
334,sbb_nettotonnenkm,2001-11-30,38103439.359
335,sbb_nettotonnenkm,2001-12-01,23645164.305
336,sbb_nettotonnenkm,2001-12-02,7372494.033
337,sbb_nettotonnenkm,2001-12-03,29729023.611
338,sbb_nettotonnenkm,2001-12-04,43724053.57
339,sbb_nettotonnenkm,2001-12-05,44060200.149
340,sbb_nettotonnenkm,2001-12-06,44025005.388
341,sbb_nettotonnenkm,2001-12-07,39506753.25
342,sbb_nettotonnenkm,2001-12-08,19266901.688
343,sbb_nettotonnenkm,2001-12-09,5992344.254
344,sbb_nettotonnenkm,2001-12-10,29185573.85
345,sbb_nettotonnenkm,2001-12-11,42571303.94
346,sbb_nettotonnenkm,2001-12-12,43081103.274
347,sbb_nettotonnenkm,2001-12-13,42290436.093
348,sbb_nettotonnenkm,2001-12-14,32451126.226
349,sbb_nettotonnenkm,2001-12-15,22436972.987
350,sbb_nettotonnenkm,2001-12-16,7050045.634
351,sbb_nettotonnenkm,2001-12-17,25262016.659
352,sbb_nettotonnenkm,2001-12-18,39565083.099
353,sbb_nettotonnenkm,2001-12-19,38579247.201
354,sbb_nettotonnenkm,2001-12-20,35000866.036
355,sbb_nettotonnenkm,2001-12-21,28817168.619
356,sbb_nettotonnenkm,2001-12-22,15393552.19
357,sbb_nettotonnenkm,2001-12-23,4492240.047
358,sbb_nettotonnenkm,2001-12-24,6679350.138
359,sbb_nettotonnenkm,2001-12-25,460184.9
360,sbb_nettotonnenkm,2001-12-26,594962.351
361,sbb_nettotonnenkm,2001-12-27,15777034.438
362,sbb_nettotonnenkm,2001-12-28,20943402.575
363,sbb_nettotonnenkm,2001-12-29,12541690.193
364,sbb_nettotonnenkm,2001-12-30,4394927.456
365,sbb_nettotonnenkm,2001-12-31,6449438.684
366,sbb_nettotonnenkm,2002-01-01,458770.7
367,sbb_nettotonnenkm,2002-01-02,5111432.06
368,sbb_nettotonnenkm,2002-01-03,27406351.014
369,sbb_nettotonnenkm,2002-01-04,28383502.44
370,sbb_nettotonnenkm,2002-01-05,19983387.874
371,sbb_nettotonnenkm,2002-01-06,5341978.061
372,sbb_nettotonnenkm,2002-01-07,24119338.264
373,sbb_nettotonnenkm,2002-01-08,36385481.373
374,sbb_nettotonnenkm,2002-01-09,39916918.462
375,sbb_nettotonnenkm,2002-01-10,39890428.108
376,sbb_nettotonnenkm,2002-01-11,38680219.503
377,sbb_nettotonnenkm,2002-01-12,23559734.714
378,sbb_nettotonnenkm,2002-01-13,7735756.691
379,sbb_nettotonnenkm,2002-01-14,26177680.331
380,sbb_nettotonnenkm,2002-01-15,41825606.101
381,sbb_nettotonnenkm,2002-01-16,44455470.228
382,sbb_nettotonnenkm,2002-01-17,39666607.281
383,sbb_nettotonnenkm,2002-01-18,40396497.397
384,sbb_nettotonnenkm,2002-01-19,24949063.045
385,sbb_nettotonnenkm,2002-01-20,7861261.266
386,sbb_nettotonnenkm,2002-01-21,27416225.471
387,sbb_nettotonnenkm,2002-01-22,42769670.705
388,sbb_nettotonnenkm,2002-01-23,43582973.515
389,sbb_nettotonnenkm,2002-01-24,43765767.349
390,sbb_nettotonnenkm,2002-01-25,37995466.614
391,sbb_nettotonnenkm,2002-01-26,22442627.633
392,sbb_nettotonnenkm,2002-01-27,7978603.631
393,sbb_nettotonnenkm,2002-01-28,26268256.09
394,sbb_nettotonnenkm,2002-01-29,41871370.444
395,sbb_nettotonnenkm,2002-01-30,41478207.655
396,sbb_nettotonnenkm,2002-01-31,41272844.205
397,sbb_nettotonnenkm,2002-02-01,38532054.871
398,sbb_nettotonnenkm,2002-02-02,24212571.374
399,sbb_nettotonnenkm,2002-02-03,7187205.252
400,sbb_nettotonnenkm,2002-02-04,28305038.944
401,sbb_nettotonnenkm,2002-02-05,42622287.149
402,sbb_nettotonnenkm,2002-02-06,43709555.5
403,sbb_nettotonnenkm,2002-02-07,42706739.429
404,sbb_nettotonnenkm,2002-02-08,39314601.343
405,sbb_nettotonnenkm,2002-02-09,24051299.742
406,sbb_nettotonnenkm,2002-02-10,7514729.965
407,sbb_nettotonnenkm,2002-02-11,24446942.005
408,sbb_nettotonnenkm,2002-02-12,39076126.255
409,sbb_nettotonnenkm,2002-02-13,41926947.534
410,sbb_nettotonnenkm,2002-02-14,43826884.444
411,sbb_nettotonnenkm,2002-02-15,37239381.504
