time,value
2008-01-14,219933.5475515
2008-01-15,208305.3519232
2008-01-16,189316.33340570002
2008-01-17,208179.54871839998
2008-01-18,196199.8176871
2008-01-21,140564.810071
2008-01-22,224619.84002139998
2008-01-23,192992.6961126
2008-01-24,228453.9522519
2008-01-25,222521.0339501
2008-01-28,209053.5691705
2008-01-29,196085.67656579998
2008-01-30,202118.9919866
2008-01-31,249297.795956
2008-02-01,195961.4239264
2008-02-04,210959.8788986
2008-02-05,203951.4393651
2008-02-06,194746.6809806
2008-02-07,209991.3711776
2008-02-08,193839.5395396
2008-02-11,211496.6397317
2008-02-12,198663.812856
2008-02-13,179332.90349929998
2008-02-14,195940.1889867
2008-02-15,215160.6135518
2008-02-18,127185.512601
2008-02-19,234651.5518735
2008-02-20,193429.5416113
2008-02-21,198177.62230370002
2008-02-22,204204.2512884
2008-02-25,218486.27414310002
2008-02-26,192221.0721453
2008-02-27,188384.1386668
2008-02-28,198947.50908420002
2008-02-29,247061.159813
2008-03-03,217679.8876289
2008-03-04,224975.35754720002
2008-03-05,225861.6449324
2008-03-06,208766.46236779998
2008-03-07,253148.240544
2008-03-10,222684.187064
2008-03-11,215763.043324
2008-03-12,211750.6998645
2008-03-13,205953.9100302
2008-03-14,202770.2009334
2008-03-17,233814.9140925
2008-03-18,220738.8614564
2008-03-19,280778.1707737
2008-03-20,237254.41384879997
2008-03-25,273490.045485
2008-03-26,244503.90734489998
2008-03-27,296751.2070005
2008-03-28,242081.9099051
2008-03-31,287467.8355054
2008-04-01,221015.7095794
2008-04-02,216323.0867814
2008-04-03,239694.064583
2008-04-04,264804.1601476
2008-04-07,261377.1732031
2008-04-08,221380.3199553
2008-04-09,209621.6748375
2008-04-10,221853.9194337
2008-04-11,236117.0610353
2008-04-14,241587.24217679998
2008-04-15,220744.60588229998
2008-04-16,219210.06381289999
2008-04-17,211356.54796589998
2008-04-18,226552.2973341
2008-04-21,218827.5619036
2008-04-22,194634.57510289998
2008-04-23,193031.8595659
2008-04-24,209646.26469679998
2008-04-25,239828.63787839998
2008-04-28,226324.3909055
2008-04-29,207339.1956306
2008-04-30,270402.8066908
2008-05-02,263172.3360606
2008-05-05,226503.2664775
2008-05-06,227263.32235960002
2008-05-07,226632.3914356
2008-05-08,198523.7286392
2008-05-09,220971.47655
2008-05-13,266864.8884436
2008-05-14,218770.7049137
2008-05-15,208403.36569439998
2008-05-16,214744.3501394
2008-05-19,204203.8581642
2008-05-20,192925.6178657
2008-05-21,196527.4382438
2008-05-22,188194.8714449
2008-05-23,199180.6749515
2008-05-26,110173.657921
2008-05-27,223118.80416179998
2008-05-28,193614.9609505
2008-05-29,221695.249334
2008-05-30,261306.6794043
2008-06-02,207134.2298095
2008-06-03,220802.4351424
2008-06-04,197905.35749189998
2008-06-05,201099.2115351
2008-06-06,216762.0500764
2008-06-09,198263.1163835
2008-06-10,197088.593874
2008-06-11,186477.7296817
2008-06-12,196528.3997623
2008-06-13,196563.57838579998
2008-06-16,211526.00138270002
2008-06-17,212140.1518726
2008-06-18,206710.0936149
2008-06-19,190987.7619224
2008-06-20,184106.5441233
2008-06-23,200692.3186917
2008-06-24,170796.4693538
2008-06-25,255871.4344935
2008-06-26,209890.8420384
2008-06-27,222588.32117860002
2008-06-30,306552.81606840005
2008-07-01,228014.94699370002
2008-07-02,247238.8853331
2008-07-03,235330.32866139998
2008-07-04,155360.9713019
2008-07-07,262268.7044715
2008-07-08,193527.316477
2008-07-09,208783.616986
2008-07-10,208359.0158576
2008-07-11,204611.7162697
2008-07-14,217319.9713194
2008-07-15,197346.1675733
2008-07-16,231664.9578324
2008-07-17,195255.9089712
2008-07-18,194743.5989025
2008-07-21,203491.0454952
2008-07-22,177708.92353610002
2008-07-23,200809.67631920002
2008-07-24,187659.74670760002
2008-07-25,191911.30381470002
2008-07-28,202275.30880139998
2008-07-29,184486.895428
2008-07-30,180807.4520963
2008-07-31,231076.68261279998
2008-08-04,226272.8769042
2008-08-05,204745.1160447
2008-08-06,204399.2389616
2008-08-07,206805.4629366
2008-08-08,187054.7003865
2008-08-11,204857.0766965
2008-08-12,182151.6055869
2008-08-13,180908.6123806
2008-08-14,188474.153513
2008-08-15,185440.4672085
2008-08-18,216359.4894541
2008-08-19,166400.9402485
2008-08-20,171825.36908839998
2008-08-21,168485.46953960002
2008-08-22,187998.2175195
2008-08-25,180539.2053303
2008-08-26,161894.3037674
2008-08-27,173333.0017397
2008-08-28,197212.1938262
2008-08-29,241222.63126770002
2008-09-01,126977.5909919
2008-09-02,195632.7863375
2008-09-03,187396.1876015
2008-09-04,179353.86453989998
2008-09-05,210630.0869983
2008-09-08,219170.80313679998
2008-09-09,168887.37417579998
2008-09-10,187014.6399793
2008-09-11,197986.7689805
2008-09-12,186326.79740039998
2008-09-15,244779.3272967
2008-09-16,218389.2591991
2008-09-17,269456.9350442
2008-09-18,240870.4032967
2008-09-19,247442.075798
2008-09-22,230014.5353362
2008-09-23,208583.6323755
2008-09-24,236176.9298324
2008-09-25,246717.9464089
2008-09-26,222649.7139127
2008-09-29,233772.1041153
2008-09-30,245461.6153205
2008-10-01,207570.8337695
2008-10-02,219695.43497620002
2008-10-03,223160.5276236
2008-10-06,224464.3315325
2008-10-07,221398.7652793
2008-10-08,204827.2882371
2008-10-09,206609.1422063
2008-10-10,244538.1320415
2008-10-13,156903.695218
2008-10-14,242969.9301442
2008-10-15,235399.2992191
2008-10-16,221944.4254638
2008-10-17,219850.3763456
2008-10-20,233554.3849947
2008-10-21,197175.1472279
2008-10-22,258832.4748512
2008-10-23,215369.9797693
2008-10-24,220686.9107991
2008-10-27,204921.4373317
2008-10-28,168577.154089
2008-10-29,308063.6519961
2008-10-30,182162.810111
2008-10-31,233568.58068460002
2008-11-03,205345.54341729998
2008-11-04,184589.0034919
2008-11-05,276319.4366515
2008-11-06,194630.5838021
2008-11-07,209754.359874
2008-11-10,203509.0657249
2008-11-11,119765.3926543
2008-11-12,261582.03922489999
2008-11-13,168776.52429610002
2008-11-14,219510.727233
2008-11-17,212387.8064485
2008-11-18,175820.4944301
2008-11-19,202505.3209004
2008-11-20,178752.5709054
2008-11-21,188639.1746959
2008-11-24,173278.4126305
2008-11-25,164697.0043199
2008-11-26,205266.6963209
2008-11-27,93452.0483805
2008-11-28,269267.5580405
2008-12-01,142633.1966265
2008-12-02,129870.5314623
2008-12-03,190755.2183558
